text,label,source,label_name
The meeting ran a bit longer than expected today but we covered all agenda items,1,tweets,neutral
The weather is absolutely perfect today. Could not ask for a better afternoon,2,tweets,positive
"The quality is absolutely dreadful. Cheap materials, poor craftsmanship, and it does not work properly at all. Complete waste of both money and time.",0,product_reviews,negative
I was skeptical at first based on the price point but this completely changed my mind. Premium quality at an affordable price. Family loves it.,2,product_reviews,positive
This is the third one I have bought and I keep coming back because quality is consistently excellent. Fast shipping and perfect packaging.,2,product_reviews,positive
Failed my driving test for the second time. Feeling so defeated and hopeless,0,tweets,negative
Reorganized my desk today. It looks more organized than it did before now,1,tweets,neutral
Ordinary product that does its job adequately. No standout features and no major flaws. Just a basic functional item at a reasonable price. Fair enough.,1,product_reviews,neutral
Scheduled a dentist appointment for next month. Just a regular cleaning visit,1,tweets,neutral
Impressive durability after six months of heavy daily use. Shows no signs of wear at all. Definitely built to last. Already recommended to colleagues.,2,product_reviews,positive
I am very disappointed with this product. It looked great in the photos but the actual item is much smaller and made from very cheap low quality materials.,0,product_reviews,negative
Great customer service from the airline! They upgraded me without even asking,2,tweets,positive
New software update completely broke my workflow. Why fix what was not broken?,0,tweets,negative
Hit a new personal record at the gym today! Progress feels so incredibly good,2,tweets,positive
Just finished reading an incredible novel. Highly recommend it to everyone,2,tweets,positive
Had lunch at a new cafe downtown. It was an average experience overall I suppose,1,tweets,neutral
False advertising at its finest. The description claims professional grade but it is clearly a cheap knockoff. I should have read reviews more carefully.,0,product_reviews,negative
Cooked a simple pasta for dinner. Nothing fancy but it filled me up well enough,1,tweets,neutral
Reading about the new updates to Python. Some interesting changes in this version,1,tweets,neutral
Purchased this for a specific purpose and it works fine for that task. Not versatile enough for other uses I considered but adequate for what I needed.,1,product_reviews,neutral
Ordered online three weeks ago and still have not received my package. Terrible,0,tweets,negative
"Standard product, exactly what you would expect at this price range. Works as described. Shipping was normal. No complaints but nothing to rave about.",1,product_reviews,neutral
My laptop just died right before my deadline. This day is a complete disaster,0,tweets,negative
"I have used similar products from other brands and this one is pretty comparable. Average in every way including build quality, performance, and value.",1,product_reviews,neutral
"Third product from this brand. They are consistently mediocre. Never excellent, never terrible. Reliable in their averageness if nothing else at all.",1,product_reviews,neutral
"Three out of five stars pretty much sums it up. It works, it arrived on time, and it does what the description says. Average in every measurable way.",1,product_reviews,neutral
Complete garbage. Broke within a week of light use. The seller refused to provide a refund despite the product being clearly defective and unusable.,0,product_reviews,negative
Meets the minimum requirements for what I needed it for. Not exceptional by any means but it does function correctly and arrived without any problems.,1,product_reviews,neutral
Got a parking ticket even though I was only five minutes over the limit. So unfair,0,tweets,negative
My phone screen cracked after dropping it once. These phones are so fragile now,0,tweets,negative
Finished my thesis after two years of hard work. Feeling incredibly accomplished,2,tweets,positive
Woke up feeling so refreshed and motivated today. Going to have a great day!,2,tweets,positive
Took the bus to work instead of driving today. Arrived at the usual time as always,1,tweets,neutral
Surprise package arrived! My family sent my favorite snacks from home,2,tweets,positive
Terrible experience at the hotel. Room was dirty and staff was completely unhelpful,0,tweets,negative
Serviceable product that does its job without any drama. Nothing exciting about it at all but it functions as intended and represents fair value overall.,1,product_reviews,neutral
Went to the grocery store. They were out of my usual brand so I tried a different one,1,tweets,neutral
Cannot believe how rude the staff was at that restaurant. Never going back there,0,tweets,negative
Best birthday ever! Surrounded by family and friends who love me. Grateful beyond words,2,tweets,positive
The movie was a complete waste of two hours. Terrible plot and awful acting,0,tweets,negative
It is fine for what it is. I would not say I am thrilled with it but I am not upset either. Middle of the road product that meets basic requirements.,1,product_reviews,neutral
"Exceeded my expectations in every single way. Fast delivery, excellent packaging, and the product itself works perfectly as advertised. Very happy.",2,product_reviews,positive
I bought this after reading mixed reviews but I am so glad I did. It works flawlessly and the build quality is much better than I anticipated.,2,product_reviews,positive
My sister just had a baby girl! I am the happiest uncle in the entire world!,2,tweets,positive
Absolutely loving this book I started reading. Cannot put it down at all!,2,tweets,positive
Perfect gift! My partner was thrilled and immediately put it to use. Attention to detail in the design is impressive. Arrived two days early.,2,product_reviews,positive
"Gets the job done but does not stand out in any particular way. Packaging was fine, delivery was on time, and the product functions as described. Okay.",1,product_reviews,neutral
Adequate for basic use. The build quality is mediocre but acceptable at this price range. Would be useful for someone with simple and straightforward needs.,1,product_reviews,neutral
Absolutely love this product! It exceeded all my expectations. Build quality is outstanding and works exactly as described. Highly recommend.,2,product_reviews,positive
"Horrible experience from start to finish. Product arrived late, was damaged, and did not function as described. Customer service was rude and unhelpful.",0,product_reviews,negative
"Could not be happier with this purchase. Great quality, reasonable price, and it works exactly as advertised. Absolutely no issues whatsoever.",2,product_reviews,positive
"Arrived damaged and when I reported it, the seller offered only a ten percent refund. Absolutely unacceptable behavior. Opening a dispute with my card.",0,product_reviews,negative
Made a grocery list for the week. Need to pick up the usual items from the store,1,tweets,neutral
Just had the most amazing coffee this morning! Feeling energized and ready to go!,2,tweets,positive
"Complete disaster of a product. Falls apart easily, does not work as advertised, and the customer service is non existent. Save your money and look elsewhere.",0,product_reviews,negative
The office was quiet today with half the team working from home remotely,1,tweets,neutral
Traffic is absolutely terrible today. Two hours to go ten miles. Losing my mind,0,tweets,negative
The project got cancelled after six months of work. Feeling completely devastated,0,tweets,negative
The new restaurant was a huge disappointment. Cold food and extremely slow service,0,tweets,negative
Updated my resume this afternoon. Just keeping it current for future opportunities,1,tweets,neutral
Extremely poor quality for the price. I have seen better products at a fraction of the cost. Will not be buying from this brand or seller ever again.,0,product_reviews,negative
Just discovered a new coffee shop that is absolutely perfect in every way,2,tweets,positive
Worst flight experience ever. Four hour delay and no explanation from the airline,0,tweets,negative
My team won the championship today! Years of practice finally paid off!,2,tweets,positive
"This product is simply outstanding. Easy to assemble, great build quality, and works perfectly for my needs. Worth every single cent of the price.",2,product_reviews,positive
Missed my train by thirty seconds. Had to wait an hour in the cold. Awful day,0,tweets,negative
Brilliant product that arrived quickly and in perfect condition. Extremely happy with the quality and will definitely be ordering again in the future.,2,product_reviews,positive
"Zero stars if I could give them. Product arrived broken, replacement also broken, and now they will not respond to my emails. Truly shocking customer service.",0,product_reviews,negative
The customer service representative was condescending and completely unhelpful,0,tweets,negative
This exceeded my expectations significantly. Build quality is superb and performance is excellent. Would give it six stars if the system allowed it.,2,product_reviews,positive
Very poor quality. The product fell apart after less than a month of normal careful use. I expected much better from a company charging this much money.,0,product_reviews,negative
Got food poisoning from that new place downtown. Stay away from there completely,0,tweets,negative
It works. That is really all I can say about it. Nothing special or remarkable but it functions correctly and arrived without any issues or damage.,1,product_reviews,neutral
"Do not buy this! The product looks nothing like the photos. Cheap plastic, flimsy construction, and completely ineffective. Total waste of money.",0,product_reviews,negative
Bought a new book at the library sale. Will start reading it this weekend maybe,1,tweets,neutral
Outstanding quality for the price. I have purchased many similar products and this one stands out as the clear winner in its category hands down.,2,product_reviews,positive
"I ordered this expecting something decent and that is exactly what I got. Decent. Not good, not bad. Just decent and functional for its intended purpose.",1,product_reviews,neutral
The weather today is partly cloudy with temperatures around sixty five degrees,1,tweets,neutral
Just got promoted at work! Hard work really does pay off. Dreams do come true!,2,tweets,positive
High quality product that does exactly what it promises. Very happy with my purchase and would not hesitate to buy again or recommend to others.,2,product_reviews,positive
Do not waste your money on this. It stopped working after just a few days of use and the company made the return process as difficult as possible for me.,0,product_reviews,negative
My package arrived completely damaged and the seller is refusing to refund me,0,tweets,negative
My landlord still has not fixed the heating and it has been two weeks. Freezing!,0,tweets,negative
